	簡中(CN)	繁中(TW)	英文(EN)	韓文(KR)	泰文(TH)	越文(VN)	西班牙文(ES)	印尼文(ID)	日文(JP)	印度文(IN)	馬來文(MY)	俄文(RU)	緬甸文(MM)	寮文(LA)	阿拉伯文(AR)	意大利文(IT)	法文(FR)	德文(DE)	葡萄牙文(PT)
StartAutoplay	开始自动旋转(@)	開始自動旋轉(@)	Start Autoplay(@)	자동 회전 시작 (@)	เริ่มการหมุนอัตโนมัติ (@)	Bắt đầu xoay tự động (@)	Iniciar rotación automática (@)	Mulai rotasi otomatis (@)	自動回転を開始します（@）	स्वचालित रोटेशन (@) शुरू करें	Mulakan putaran automatik (@)	Начать автоматическое вращение (@)	အလိုအလျောက်လည်ပတ်မှုစတင်ပါ (@)	ເລີ່ມຕົ້ນການຫມູນວຽນອັດຕະໂນມັດ (@)	بدء التدوير التلقائي (@)	Avvia rotazione automatica (@)	Démarrer la rotation automatique (@)	Automatische Drehung starten (@)	Iniciar rotação automática (@)
SystemSettings	系统设置	系統設置	System Settings	환경 설정	การตั้งค่าระบบ	Cài đặt hệ thống	Ajustes del sistema	Pengaturan sistem	システム設定	प्रणाली व्यवस्था	Tetapan sistem	Настройки системы	စနစ်အပြင်အဆင်	ການຕັ້ງຄ່າລະບົບ	اعدادات النظام	Impostazioni di sistema	Les paramètres du système	Systemeinstellungen	Configurações de sistema
BatterySaver	省电助手	省電助手	Battery Saver	배터리 세이버	ประหยัดแบตเตอรี่	Tiết kiệm pin	Ahorro de batería	Penghemat baterai	バッテリーセーバー	बैटरी बचतकर्ता	Penyelamat bateri	Экономия заряда батареи	ဘက်ထရီ Saver	ເຄື່ອງປະຫຍັດແບັດເຕີຣີ	حافظ البطارية	Risparmio energetico	Économiseur de batterie	Batteriesparmodus	Economizador de bateria
SoundFX	音量	音量	Sound FX	소리	เสียง	Âm thanh	Sonido	Suara	音	ध्वनि	Bunyi	Звук	အသံ	ສຽງ	صوت	Suono	Du son	Klang	Som
IntroScreen	介绍萤幕	介紹螢幕	Intro Screen	소개 화면	หน้าจอแนะนำ	Màn hình giới thiệu	Pantalla de introducción	Layar pengantar	紹介画面	परिचय स्क्रीन	Skrin pengenalan	Экран введения	နိဒါန်းမျက်နှာပြင်	ໜ້າ ຈໍແນະ ນຳ	شاشة المقدمة	Schermata introduttiva	Écran d'introduction	Einführungsbildschirm	Tela de introdução
GameHistory	游戏历史纪录	遊戲歷史紀錄	Game History	게임 역사	ประวัติเกม	Lịch sử trò chơi	Historia del juego	Sejarah permainan	ゲーム履歴	खेल का इतिहास	Sejarah permainan	История игр	ဂိမ်းသမိုင်း	ປະຫວັດຂອງເກມ	تاريخ اللعبة	Storia del gioco	Histoire du jeu	Spielverlauf	História do jogo
QuickSpinIntro	通过缩短总旋转时间加快游戏速度	通過縮短總旋轉時間加快遊戲速度	Play faster by reducing total spin time	총 스핀 시간을 단축하여 게임 속도 향상	เร่งความเร็วเกมโดยการลดเวลาในการหมุนทั้งหมด	Tăng tốc trò chơi bằng cách rút ngắn tổng thời gian quay	Acelera el juego acortando el tiempo total de giro	Percepat permainan dengan mempersingkat waktu putaran total	総スピン時間を短縮してゲームをスピードアップ	कुल स्पिन समय को छोटा करके खेल को गति दें	Mempercepat permainan dengan memendekkan jumlah masa putaran	Ускорьте игру, сократив общее время вращения	စုစုပေါင်းလည်ပတ်အချိန်ကိုတိုစေခြင်းဖြင့်ဂိမ်းကိုအရှိန်မြှင့်ပါ	ເລັ່ງເກມໂດຍຫຍໍ້ເວລາ ໝຸນ ຮອບທັງ ໝົດ	قم بتسريع اللعبة عن طريق تقصير وقت الدوران الإجمالي	Accelera il gioco riducendo il tempo di rotazione totale	Accélérez le jeu en raccourcissant le temps de rotation total	Beschleunigen Sie das Spiel, indem Sie die Gesamtdrehzeit verkürzen	Acelere o jogo reduzindo o tempo total de giro
BatterySaverIntro	通过减慢动画速度/n延长电池使用时间	通過減慢動畫速度/n延長電池使用時間	Save battry life by reducing animation speed	애니메이션 속도를 줄여 배터리 수명 연장 / n	ยืดอายุแบตเตอรี่โดยการลดความเร็วในการเคลื่อนไหว / n	Kéo dài thời lượng pin bằng cách làm chậm tốc độ hoạt ảnh / n	Amplíe la duración de la batería reduciendo la velocidad de la animación / n	Perpanjang usia baterai dengan memperlambat kecepatan animasi / n	アニメーションの速度を遅くしてバッテリー寿命を延ばす/ n	एनीमेशन गति / n को धीमा करके बैटरी जीवन का विस्तार करें	Memanjangkan hayat bateri dengan melambatkan kelajuan animasi / n	Увеличьте время автономной работы, снизив скорость анимации / n	ကာတွန်းအမြန်နှုန်းနှေးကွေးခြင်းဖြင့်ဘက်ထရီသက်တမ်းကိုကြာရှည်စေပါ	ຍືດອາຍຸການໃຊ້ງານແບັດເຕີຣີໂດຍການເຮັດໃຫ້ພາບເຄື່ອນໄຫວຊ້າ / n	إطالة عمر البطارية عن طريق إبطاء سرعة الرسوم المتحركة / n	Prolunga la durata della batteria rallentando la velocità di animazione / n	Prolongez la durée de vie de la batterie en ralentissant la vitesse de l'animation / n	Verlängern Sie die Akkulaufzeit, indem Sie die Animationsgeschwindigkeit / n verlangsamen	Prolongue a vida da bateria diminuindo a velocidade da animação / n
SoundFXIntro	打开或关闭游戏声音	打開或關閉遊戲聲音	Turn on or off the game sounds	게임 소리 켜기 또는 끄기	เปิดหรือปิดเสียงเกม	Bật hoặc tắt âm thanh trò chơi	Activar o desactivar los sonidos del juego	Aktifkan atau nonaktifkan suara game	ゲームサウンドをオンまたはオフにします	गेम को चालू या बंद करें	Hidupkan atau matikan bunyi permainan	Включите или выключите звуки игры	ဂိမ်းသံကိုဖွင့်သို့မဟုတ်ပိတ်ပါ	ເປີດຫລືປິດສຽງຂອງເກມ	تشغيل أصوات اللعبة أو إيقاف تشغيلها	Attiva o disattiva i suoni del gioco	Activer ou désactiver les sons du jeu	Schalten Sie die Spielgeräusche ein oder aus	Ligue ou desligue os sons do jogo
GameIntor	开始游戏前显示简介屏幕	開始遊戲前顯示簡介螢幕	Show the intro screen before starting the game	게임을 시작하기 전에 소개 화면을 보여줍니다	แสดงหน้าจอแนะนำก่อนเริ่มเกม	Hiển thị màn hình giới thiệu trước khi bắt đầu trò chơi	Muestra la pantalla de introducción antes de iniciar el juego.	Tunjukkan layar perkenalan sebelum memulai permainan	ゲームを始める前に紹介画面を表示する	खेल शुरू करने से पहले परिचय स्क्रीन दिखाएं	Tunjukkan skrin pengenalan sebelum memulakan permainan	Покажите вводный экран перед запуском игры	ဂိမ်းမစတင်မှီမိတ်ဆက်မျက်နှာပြင်ကိုပြပါ	ສະແດງ ໜ້າ ຈໍແນະ ນຳ ກ່ອນເລີ່ມເກມ	اعرض شاشة المقدمة قبل بدء اللعبة	Mostra la schermata introduttiva prima di iniziare il gioco	Afficher l'écran d'introduction avant de démarrer le jeu	Zeigen Sie den Einführungsbildschirm, bevor Sie das Spiel starten	Mostra a tela de introdução antes de iniciar o jogo
Home	主页	主頁	Home	홈페이지	โฮมเพจ	Trang chủ	Página de inicio	Halaman muka	ホームページ	मुख पृष्ठ	Laman utama	Домашняя страница	မူလစာမျက်နှာ	ໜ້າ ທຳ ອິດ	الصفحة الرئيسية	Pagina iniziale	Page d'accueil	Startseite	Pagina inicial
AutoSpinLeft	剩余的自动旋转@	剩餘的自動旋轉@	Auto Spins Left@	남은 자동 회전 수 @	จำนวนการหมุนอัตโนมัติที่เหลือ @	Số vòng quay tự động còn lại @	El número restante de rotaciones automáticas @	Jumlah rotasi otomatis yang tersisa @	自動回転の残り数@	स्वचालित घुमावों की शेष संख्या @	Bilangan putaran automatik yang selebihnya @	Оставшееся количество автоматических вращений @	ကျန်တဲ့အော်တိုလည်ပတ်မှုအရေအတွက် @	ຈໍານວນທີ່ຍັງເຫຼືອຂອງການຫມູນວຽນອັດຕະໂນມັດ @	العدد المتبقي من التدوير التلقائي @	Il numero rimanente di rotazioni automatiche @	Le nombre restant de rotations automatiques @	Die verbleibende Anzahl der automatischen Umdrehungen @	O número restante de rotações automáticas @
MarqueeMsg_1	祝您好运	祝您好運	Good Luck!	Good Luck!	Good Luck!	Good Luck!	Good Luck!	Good Luck!	Good Luck!	Good Luck!	Good Luck!	Good Luck!	Good Luck!	Good Luck!	Good Luck!	Good Luck!	Good Luck!	Good Luck!	Good Luck!
LockText	锁定	鎖定	Lock	잠금	ล็อค	khóa	cierre	penguncian	ロック	लक्ष्य	Sasaran	Цель	ပစ်မှတ်	ເປົ້າ​ຫມາຍ	استهداف	Bersaglio	Cible	Ziel	Alvo
AutoText	挂机	掛機	Auto	끊다	วางสาย	Treo lên	Colgar	Tutup Telepon	電話を切る	स्वचालित हमला	Serangan automatik	Автоматическая атака	အလိုအလျောက်တိုက်ခိုက်ခြင်း	ການໂຈມຕີແບບອັດຕະໂນມັດ	هجوم تلقائي	Attacco automatico	Attaque automatique	Automatischer Angriff	Ataque automático
WaitForEnterTip	等待加入	等待加入	Waiting to join	가입 대기 중	รอเข้าร่วม	Đang chờ để tham gia	Esperando unirse	Menunggu untuk bergabung	参加を待っています	शामिल होने का इंतजार है	Menunggu untuk menyertainya	В ожидании присоединения	join ဖို့စောင့်ဆိုင်း	ລໍຖ້າເຂົ້າຮ່ວມ	في انتظار الانضمام	In attesa di entrare	En attente de rejoindre	Warten auf den Beitritt	Esperando para entrar
LeaveText	离开	離開	Leave	저리가	ไปให้พ้น	đi chỗ khác	vete	pergi	どこかに行って	चले जाओ	pergi	уходи	အဝေးကိုထွက်သွားပါ	ໄປ​ໄກໆ	ابتعد أو ارحل	va via	allez-vous en	Geh weg	vá embora
IntroText	说明	說明	Info	기술	คำอธิบาย	Sự miêu tả	Descripción	Deskripsi	説明	विवरण	Penerangan	Описание	ဖော်ပြချက်	ລາຍລະອຽດ	وصف	Descrizione	La description	Beschreibung	Descrição
RecordText	纪录	紀錄	Record	기록	บันทึก	Ghi lại	Grabar	Merekam	記録	अभिलेख	Rekod	Запись	စံချိန်တင်	ບັນທຶກ	سجل	Disco	Record	Aufzeichnung	Registro
AudioText	声音	聲音	Sound	소리	เสียง	âm thanh	sonido	suara	音	ध्वनि	suara	звук	အသံ	ສຽງ	صوت	suono	du son	Klang	som
ShootCountText	射击发数	射擊發數	Amount	샷 수	จำนวนภาพ	Số lượng ảnh chụp	Numero de disparos	Jumlah tembakan	ショット数	शॉट्स की संख्या	Jumlah tembakan	Количество выстрелов	ရိုက်ချက်အရေအတွက်	ຈຳ ນວນສັກ	عدد اللقطات	Numero di colpi	Nombre de coups	Anzahl der Aufnahmen	Número de tiros
SelectAllText	全选	全選	Select all	모두 선택	เลือกทั้งหมด	chọn tất cả	seleccionar todo	Pilih Semua	すべて選択	सभी का चयन करे	pilih semua	выбрать все	အားလုံးကိုရွေးပါ	ເລືອກ​ທັງ​ຫມົດ	اختر الكل	seleziona tutto	tout sélectionner	Wählen Sie Alle	selecionar tudo
FishType_Small	小型鱼	小型魚	Small fish	작은 물고기	ปลาเล็ก	Con cá nhỏ	Pez pequeño	Ikan kecil	小魚	छोटी मछली	Ikan kecil	Маленькая рыба	ငါးသေးသေးလေး	ປານ້ອຍ	سمكة صغيرة	Piccolo pesce	Petit poisson	Kleiner Fisch	Peixe pequeno
FishType_Mid	中型鱼	中型魚	Medium fish	중간 물고기	ปลาขนาดกลาง	Cá vừa	Pescado mediano	Ikan sedang	ミディアムフィッシュ	मध्यम मछली	Ikan sederhana	Средняя рыба	အလယ်အလတ်ငါး	ປາຂະ ໜາດ ກາງ	سمكة متوسطة	Pesce medio	Poisson moyen	Mittlerer Fisch	Peixe médio
FishType_Big	大型鱼	大型魚	Large fish	큰 물고기	ปลาขนาดใหญ่	Cá lớn	Pez grande	Ikan besar	大きな魚	बड़ी मछली	Ikan besar	Большая рыба	ငါးကြီးများ	ປາໃຫຍ່	سمكة كبيرة	Pesce grosso	Gros poisson	Großer Fisch	Peixes grandes
AutoPanelTitleText	选择自动锁定对象	選擇自動鎖定物件	Select automatic lock object	자동 잠금 개체 선택	เลือกวัตถุล็อคอัตโนมัติ	Chọn đối tượng khóa tự động	Seleccionar objeto de bloqueo automático	Pilih objek kunci otomatis	自動ロックオブジェクトを選択します	स्वचालित लॉक ऑब्जेक्ट चुनें	Pilih objek kunci automatik	Выбрать объект автоматической блокировки	အလိုအလျောက်သော့ခတ်အရာဝတ္ထုကိုရွေးပါ	ເລືອກວັດຖຸລັອກອັດຕະໂນມັດ	حدد كائن القفل التلقائي	Seleziona oggetto blocco automatico	Sélectionnez un objet de verrouillage automatique	Wählen Sie das Objekt für die automatische Sperre	Selecione o objeto de bloqueio automático
Msg_MaxBulletLimit	已达最大发射子弹数量上限	已達最大發射子彈數量上限	The maximum number of bullets fired has been reached	발사 된 총알의 최대 수에 도달했습니다.	กระสุนถึงจำนวนสูงสุดที่ยิงแล้ว	Đã đạt đến số lượng đạn bắn tối đa	Se alcanzó el número máximo de balas disparadas	Jumlah maksimum peluru yang ditembakkan telah tercapai	発射された弾丸の最大数に達しました	सबसे ज्यादा गोलियां दागी गई हैं	Jumlah maksimum peluru yang ditembak telah dicapai	Достигнуто максимальное количество выпущенных пуль	ကျည်ဆံအများဆုံးရရှိနိုင်ခဲ့သည်	ຈຳ ນວນລູກປືນທີ່ຖືກຍິງສູງສຸດໄດ້ບັນລຸແລ້ວ	تم الوصول إلى الحد الأقصى لعدد الرصاصات التي تم إطلاقها	È stato raggiunto il numero massimo di proiettili sparati	Le nombre maximum de balles tirées a été atteint	Die maximale Anzahl abgefeuerter Kugeln wurde erreicht	O número máximo de balas disparadas foi atingido
IntroPanelTitleText	游戏说明	遊戲說明	Game Info	게임 지침	คำแนะนำเกม	hướng dẫn trò chơi	instrucciones del juego	instruksi permainan	ゲームの説明	खेल निर्देश	arahan permainan	инструкции к игре	ဂိမ်းညွှန်ကြားချက်များ	ຄຳ ແນະ ນຳ ເກມ	تعليمات اللعبة	istruzioni di gioco	instructions de jeu	Spielanweisungen	instruções do jogo
IntroPanelTitle_0	介面说明	介面說明	Interface description	인터페이스 설명	คำอธิบายอินเทอร์เฟซ	Mô tả giao diện	Descripción de la interfaz	Deskripsi antarmuka	インターフェイスの説明	इंटरफ़ेस विवरण	Penerangan antara muka	Описание интерфейса	interface ဖော်ပြချက်	ລາຍລະອຽດຂອງການໂຕ້ຕອບ	وصف الواجهة	Descrizione dell'interfaccia	Description de l'interface	Schnittstellenbeschreibung	Descrição da interface
IntroPanelTitle_1	一般鱼种	一般魚種	General	일반 어종	พันธุ์ปลาทั่วไป	Các loài cá nói chung	Especies de peces en general	Spesies ikan umum	一般的な魚種	सामान्य मछली की प्रजातियाँ	Spesies ikan am	Общие виды рыб	အထွေထွေငါးမျိုးစိတ်များ	ຊະນິດປາທົ່ວໄປ	أنواع الأسماك العامة	Specie ittiche generali	Espèces de poissons générales	Allgemeine Fischarten	Espécies gerais de peixes
IntroPanelTitle_2	特殊鱼种	特殊魚種	Special	특수 어종	ปลาชนิดพิเศษ	Các loài cá đặc biệt	Especies de peces especiales	Spesies ikan khusus	特別な魚種	मछली की विशेष प्रजातियाँ	Spesies ikan khas	Особые виды рыб	အထူးငါးမျိုးစိတ်များ	ຊະນິດປາພິເສດ	أنواع الأسماك الخاصة	Specie di pesci speciali	Espèces de poissons spéciales	Spezielle Fischarten	Espécies especiais de peixes
FishRoomTypeText	@元场	@元場	@ dollar	@ 鱼 场	@ สถานที่ตกปลา	@ Nơi câu cá	@ Lugar de pesca	@ Tempat memancing	@釣り場	@ मछली पकड़ने की जगह	@ Tempat memancing	@ Место рыбалки	@ ငါးဖမ်းနေရာ	@ ສະຖານທີ່ຫາປາ	@ مكان الصيد	@ Luogo di pesca	@ Lieu de pêche	@ Angelplatz	@ Local de pesca
FishRoomTitle_0	初级	初級	Low	일 순위	หลัก	sơ cấp	primario	utama	プライマリ	प्राथमिक	primer	первичный	မူလတန်း	ປະຖົມ	ابتدائي	primario	primaire	primär	primário
FishRoomTitle_1	中级	中級	Medium	중급	ระดับกลาง	Trung gian	intermedio	menengah	中級	मध्यवर्ती	pertengahan	средний	အလယ်အလတ်	ປານກາງ	متوسط	intermedio	intermédiaire	mittlere	intermediário
FishRoomTitle_2	高级	高級	High	많은	ขั้นสูง	nâng cao	avanzado	maju	高度な	उन्नत	maju	продвинутый	အဆင့်မြင့်	ກ້າວ ໜ້າ	المتقدمة	Avanzate	Avancée	fortgeschritten	avançado
WaveText	浪潮来袭	浪潮來襲	The wave is coming	파도가오고있다	คลื่นกำลังมา	Làn sóng đang đến	Viene la ola	Gelombangnya datang	波が来ています	लहर आ रही है	Gelombang akan datang	Волна приближается	လှိုင်းကြီးလာတော့မယ်	ຄື້ນ ກຳ ລັງຈະມາ	الموجة قادمة	L'onda sta arrivando	La vague arrive	Die Welle kommt	A onda está chegando
SelfTipText	您在这里	您在這裡	You are here	당신은 여기 있습니다	คุณอยู่ที่นี่	Bạn đang ở đây	Estás aquí	Kamu di sini	あなたはここにいる	आप यहाँ हैं	Kamu di sini	Вы здесь	သင်ဒီမှာပါ	ເຈົ້າ​ຢູ່​ທີ່​ນີ້	أنت هنا	Tu sei qui	Tu es là	Du bist da	Você está aqui
Msg_SystemError	系统错误	系統錯誤	System error	시스템 오류	ระบบผิดพลาด	lỗi hệ thống	error del sistema	sistem bermasalah	システムエラー	सिस्टम में गड़बड़ी	kesalahan sistem	системная ошибка	စနစ်အမှား	ລະບົບຜິດພາດ	خطأ في النظام	errore di sistema	erreur système	Systemfehler	erro no sistema
Msg_TransactionFailed	交易失败	交易失敗	Transaction failed	거래 실패	การทำธุรกรรมล้มเหลว	Giao dịch thất bại	Transacción fallida	transaksi gagal	処理に失敗しました	लेन - देन विफल	transaksi gagal	транзакция не удалась	ငွေပေးငွေယူမအောင်မြင်ပါ	ການເຮັດທຸລະ ກຳ ລົ້ມເຫລວ	فشل الاجراء	transazione fallita	La transaction a échoué	Transaktion fehlgeschlagen	Falha na transação
Msg_ParameterError	参数错误	參數錯誤	Parameter error	매개 변수 오류	ข้อผิดพลาดของพารามิเตอร์	Lỗi tham số	error de parametro	Kesalahan parameter	パラメータエラー	पैरामीटर त्रुटि	Kesalahan parameter	Ошибка параметра	parameter အမှား	ພາລາມິເຕີຜິດພາດ	خطأ في المعلمة	Errore di parametro	Erreur de paramètre	Parameterfehler	Erro de parâmetro
Msg_Wrong amount	错误的金额	錯誤的金額	Wrong amount	잘못된 금액	จำนวนเงินที่ไม่ถูกต้อง	Số tiền sai	Cantidad incorrecta	Salah jumlah	間違った金額	ग़लत राशि	Jumlah yang salah	Неправильная сумма	ငွေပမာဏမှား	ຈຳ ນວນທີ່ບໍ່ຖືກຕ້ອງ	كمية خاطئة	Importo sbagliato	Mauvais montant	Falscher Betrag	Quantidade errada
Msg_invalid_account	无效的帐号	無效的帳號	Invalid account	잘못된 계정	บัญชีไม่ถูกต้อง	Tài khoản không hợp lệ	Cuenta no válida	Akun tidak berlaku	無効なアカウント	अवैध खाता	Akaun tidak sah	Неверный аккаунт	မမှန်ကန်သောအကောင့်	ບັນຊີບໍ່ຖືກຕ້ອງ	حساب غير صالح	Account non valido	Compte invalide	Ungültiger Account	Conta inválida
Msg_InvalidAccount	无效的帐号	無效的帳號	Invalid account	잘못된 계정	บัญชีไม่ถูกต้อง	Tài khoản không hợp lệ	Cuenta no válida	Akun tidak berlaku	無効なアカウント	अवैध खाता	Akaun tidak sah	Неверный аккаунт	မမှန်ကန်သောအကောင့်	ບັນຊີບໍ່ຖືກຕ້ອງ	حساب غير صالح	Account non valido	Compte invalide	Ungültiger Account	Conta inválida
Msg_wallet_transaction_playerInSpin	游戏注单纪录还在执行中	遊戲注單紀錄還在執行中	The game bet record is still in execution	게임 베팅 기록은 아직 실행 중입니다.	บันทึกการเดิมพันเกมยังคงดำเนินการอยู่	Kỷ lục đặt cược trò chơi vẫn đang được thực hiện	El registro de apuestas del juego aún está en ejecución.	Rekor taruhan permainan masih dalam eksekusi	ゲームの賭けの記録はまだ実行中です	खेल शर्त रिकॉर्ड अभी भी निष्पादन में है	Rekod pertaruhan permainan masih dalam pelaksanaan	Запись игровой ставки все еще выполняется	ဂိမ်းအလောင်းအစားစံချိန်တင်ထားဆဲဖြစ်သည်	ບັນທຶກການລົງພະນັນເກມຍັງ ດຳ ເນີນການຢູ່	سجل رهان اللعبة لا يزال قيد التنفيذ	Il record della scommessa del gioco è ancora in esecuzione	L'enregistrement des paris du jeu est toujours en cours d'exécution	Der Spielwettenrekord ist noch in Ausführung	O registro da aposta do jogo ainda está em execução
Msg_JoinGameDataError	加入房间资料错误	加入房間資料錯誤	Add room information error	객실 정보 추가 오류	เพิ่มข้อผิดพลาดข้อมูลห้อง	Thêm thông tin phòng bị lỗi	Agregar error de información de habitación	Tambahkan kesalahan informasi ruangan	部屋情報の追加エラー	कक्ष जानकारी त्रुटि जोड़ें	Ralat tambah maklumat bilik	Ошибка добавления информации о комнате	အခန်းသတင်းအချက်အလက်အမှားထည့်ပါ	ເພີ່ມຂໍ້ຜິດພາດຂອງຂໍ້ມູນໃນຫ້ອງ	إضافة خطأ في معلومات الغرفة	Aggiungi errore di informazioni sulla camera	Erreur d'ajout d'informations sur la salle	Rauminformationsfehler hinzufügen	Adicionar erro de informação da sala
Msg_JoinGameErrorPlayerIsJoin	加入游戏房间错误	加入遊戲房間錯誤	Join game room error	게임 룸 참가 오류	เกิดข้อผิดพลาดในการเข้าร่วมห้องเกม	Lỗi khi tham gia phòng trò chơi	Error al unirse a la sala de juegos	Terjadi kesalahan saat bergabung dengan ruang permainan	ゲームルームへの参加中にエラーが発生しました	गेम रूम में शामिल होने में त्रुटि	Ralat semasa memasuki bilik permainan	Ошибка при входе в игровую комнату	ဂိမ်းအခန်းသို့ဝင်ရောက်ခြင်းအမှား	ຜິດພາດໃນການເຂົ້າຫ້ອງເກມ	خطأ في الانضمام إلى غرفة الألعاب	Errore durante l'accesso alla sala giochi	Erreur lors de la connexion à la salle de jeux	Fehler beim Beitritt zum Spielzimmer	Erro ao entrar na sala de jogos
Msg_NetworkError	线路异常，请重新尝试	線路異常，請重新嘗試	Network error	라인이 비정상입니다. 다시 시도하십시오.	สายผิดปกติโปรดลองอีกครั้ง	Dòng bất thường, vui lòng thử lại	La línea es anormal, inténtelo de nuevo.	Garis tidak normal, harap coba lagi	回線が異常です。もう一度お試しください	लाइन असामान्य है, कृपया पुनः प्रयास करें	Garisnya tidak normal, sila cuba lagi	Линия ненормальная, попробуйте еще раз	ကျေးဇူးပြုပြီးထပ်ကြိုးစားပါ	ສາຍແມ່ນຜິດປົກກະຕິ, ກະລຸນາລອງ ໃໝ່ ອີກຄັ້ງ	الخط غير طبيعي ، يرجى المحاولة مرة أخرى	La linea è anomala, riprova	La ligne est anormale, veuillez réessayer	Die Leitung ist abnormal, bitte versuchen Sie es erneut	A linha está anormal, por favor tente novamente
Msg_SinglewalletInsufficientBalance	钱包余额不足	錢包餘額不足	Insufficient balance in seamless wallet	지갑 잔액 부족	ยอดเงินในกระเป๋าไม่เพียงพอ	Số dư trong ví không đủ	Saldo de cartera insuficiente	Saldo dompet tidak mencukupi	ウォレットのバランスが不十分	अपर्याप्त बटुआ संतुलन	Baki dompet tidak mencukupi	Недостаточный баланс кошелька	မလုံလောက်ပိုက်ဆံအိတ်ချိန်ခွင်လျှာ	ຍອດເງິນໃນກະເປົາບໍ່ພຽງພໍ	رصيد المحفظة غير كاف	Saldo del portafoglio insufficiente	Solde du portefeuille insuffisant	Unzureichende Brieftaschenbalance	Saldo de carteira insuficiente
Msg_DuplicateAccountLogin	帐号重复登入	帳號重複登入	Repeat account login																
Msg_channel_error	Channel ID错误	Channel ID錯誤	Channel ID error																
Msg_Transferring	金额处理中，请稍后	金額處理中，請稍後	Transferring, please wait																
Msg_Processing	处理中，请稍后	處理中，請稍後	Processing, please wait																
Msg_last_order_being_processed	订单处理中，请稍后	訂單處理中，请稍后	Order processing, please wait																
Msg_idle_too_long	闲置太久,请重新登入	閒置太久,請重新登入	Please log in again after being idle for too long																
Msg_param_error_empty		參數錯誤																	
